YEAR,DOY,SRAD,TMAX,TMIN,PR
02/13/2019,19044,18.02,20.81,1.94,0.02
02/14/2019,19045,12.58,25.47,7.3,0
02/15/2019,19046,14.69,32.68,11.47,0
02/16/2019,19047,16.84,26.1,13.74,0
02/17/2019,19048,19.72,25.36,9.36,0.01
02/18/2019,19049,15.43,19.07,5.09,0.02
02/19/2019,19050,5.59,12.5,6.41,0.13
02/20/2019,19051,20.01,19.11,2.64,0
02/21/2019,19052,9.89,15.72,6.46,0.05
02/22/2019,19053,10.58,25.05,7.76,0.12
02/23/2019,19054,17.09,22.37,8.83,0.05
02/24/2019,19055,21.49,21.82,3.23,0
02/25/2019,19056,19.48,21.64,6.85,0.01
02/26/2019,19057,11.85,26.25,11.25,0.03
02/27/2019,19058,15.66,29.03,14.97,0
02/28/2019,19059,5.77,26.81,12.24,0.13
03/01/2019,19060,10.18,28.49,10.82,0.22
03/02/2019,19061,4.74,27.9,14.72,0.31
03/03/2019,19062,8.47,25.16,5.07,0.22
03/04/2019,19063,10.98,10.72,1.36,0.01
03/05/2019,19064,18.21,12.4,-0.41,0
03/06/2019,19065,19.69,14.38,1.61,0
03/07/2019,19066,15.15,22.88,4.84,0
03/08/2019,19067,12.3,31.77,12.98,0.01
03/09/2019,19068,20.37,30.42,17.17,0.02
03/10/2019,19069,7.7,29.51,16.2,0.04
03/11/2019,19070,5.18,25.58,18.57,1.02
03/12/2019,19071,8.14,28.56,18.38,1.67
03/13/2019,19072,23.96,30.69,12.96,1.03
03/14/2019,19073,24.03,26.8,11.47,4.85
03/15/2019,19074,11.49,16.57,9.8,0.01
03/16/2019,19075,15.09,17.47,8.33,0
03/17/2019,19076,19.86,18.35,8.39,0
03/18/2019,19077,21.66,22.39,7.79,0
03/19/2019,19078,19.76,22.08,8.37,0
03/20/2019,19079,13.1,23.7,11.39,0.38
03/21/2019,19080,18.67,26.55,11.78,0.09
03/22/2019,19081,15.42,27.84,12.42,0.02
03/23/2019,19082,10.12,29.34,16.12,0
03/24/2019,19083,10.41,32.1,16.3,0
03/25/2019,19084,17.01,31.62,17.81,0
03/26/2019,19085,22.66,29.44,16.31,0
03/27/2019,19086,10.98,28.72,15.41,0
03/28/2019,19087,14.69,30.02,16.23,0
03/29/2019,19088,12.76,31.89,16.96,0
03/30/2019,19089,15.74,24.99,11.98,0.07
03/31/2019,19090,16.29,18.48,7.62,0.76
04/01/2019,19091,19.78,21.34,5.52,0
04/02/2019,19092,24.25,25.8,7.62,0
04/03/2019,19093,5.66,29.17,13.74,0.56
04/04/2019,19094,22.69,34.46,17.28,0.21
04/05/2019,19095,21.96,32.18,16.49,0
04/06/2019,19096,15.01,30.4,19.25,10.34
04/07/2019,19097,16.9,31.6,16.6,10.19
04/08/2019,19098,26.98,32.99,14.31,0.08
04/09/2019,19099,25.72,36.31,16.39,0
04/10/2019,19100,27.64,40.48,15.64,0
04/11/2019,19101,23.43,30.74,15.35,0
04/12/2019,19102,27.18,30.61,10.84,0.3
04/13/2019,19103,24.43,27.23,10.55,3.76
04/14/2019,19104,27.47,26.35,7.74,0
04/15/2019,19105,27.91,31.89,11.13,0
04/16/2019,19106,15.44,31.62,17.07,0
04/17/2019,19107,17.71,36.09,20.06,10.68
04/18/2019,19108,26.07,28.27,14.42,1.5
04/19/2019,19109,28.8,30.22,12.55,0
04/20/2019,19110,28.36,32.88,10.67,0
04/21/2019,19111,21.14,32.5,14.33,0
04/22/2019,19112,16.32,27.46,17.8,0
04/23/2019,19113,7.03,29.35,18.99,0.14
04/24/2019,19114,7.44,30.46,13.72,9.47
04/25/2019,19115,28.95,33.47,12.79,0
04/26/2019,19116,27.95,33.18,16.3,0
04/27/2019,19117,28.57,35.7,15.93,0.04
04/28/2019,19118,26.48,35.57,17.7,0
04/29/2019,19119,10.47,31.68,19.73,0.03
04/30/2019,19120,9.04,33.57,21.17,0.19
05/01/2019,19121,5.8,35.42,21.58,0.17
05/02/2019,19122,9.15,30.57,21.49,11.38
05/03/2019,19123,10.69,31.13,21.19,14.5
05/04/2019,19124,20.31,31.45,18.66,0.85
05/05/2019,19125,22.82,29.63,18.36,9.2
05/06/2019,19126,16.33,26.88,19.29,3.61
05/07/2019,19127,15.91,30.54,20.74,1.49
05/08/2019,19128,21.22,34.46,21.63,1.5
05/09/2019,19129,12.63,33.79,18.26,4.16
05/10/2019,19130,7.65,23.84,15.2,1.52
05/11/2019,19131,13.96,27.67,14.44,0.97
05/12/2019,19132,26.41,28.4,14.43,0.05
05/13/2019,19133,20.79,28.48,14.63,0.37
05/14/2019,19134,18.48,32.08,18.71,0.46
05/15/2019,19135,21.73,32.03,20.14,0.02
05/16/2019,19136,19.51,33.91,20.3,0.01
05/17/2019,19137,14.9,35.24,21.95,0.13
05/18/2019,19138,16.45,37.23,23.23,0.87
05/19/2019,19139,22.05,36.98,22.99,2.05
05/20/2019,19140,14.87,37.85,23.94,0.77
05/21/2019,19141,29.57,34.88,21.62,0.09
05/22/2019,19142,14.35,38.68,21.27,0.01
05/23/2019,19143,20.63,38.22,24.62,0
05/24/2019,19144,18.69,35.85,24.92,0
05/25/2019,19145,20.1,37.21,24.31,0.01
05/26/2019,19146,18.13,36.95,23.41,0.03
05/27/2019,19147,21.98,35.74,23.13,0.06
05/28/2019,19148,16.16,36.84,23.43,0.02
05/29/2019,19149,22.34,39,24.15,0.48
05/30/2019,19150,19.97,34.84,24.4,11.52
05/31/2019,19151,17.75,34.71,22.98,1.14
06/01/2019,19152,23.38,32.49,23.24,0.08
06/02/2019,19153,24.03,34.74,22.89,0.59
06/03/2019,19154,14.01,32.34,24.37,7.39
06/04/2019,19155,13.59,29.66,23.1,23.29
06/05/2019,19156,26.8,33.84,22.99,5.56
06/06/2019,19157,27.41,36.98,23.11,0.22
06/07/2019,19158,30.11,38.48,22.37,0
06/08/2019,19159,27.78,40.42,21.66,0
06/09/2019,19160,28.44,41.57,24.96,9.11
06/10/2019,19161,17.99,29.9,22.78,15.15
06/11/2019,19162,6.85,28.48,21.27,6.48
06/12/2019,19163,26.53,33.02,19.42,0.04
06/13/2019,19164,26.97,34.96,20.96,0.02
06/14/2019,19165,29.29,36.9,20.98,0
06/15/2019,19166,25.14,37.44,24.14,0.01
06/16/2019,19167,22.08,38.45,24.04,0.36
06/17/2019,19168,25.11,35.98,24.57,2.08
06/18/2019,19169,27.44,39.29,24.75,0.83
06/19/2019,19170,28.61,38.57,25.66,0
06/20/2019,19171,24.38,39.63,25.63,0.02
06/21/2019,19172,20.75,37.86,25.92,7.08
06/22/2019,19173,18.73,37.24,25.06,4.58
06/23/2019,19174,16.56,39.01,26.04,0.01
06/24/2019,19175,20.57,35.85,24.8,2.96
06/25/2019,19176,25.93,34.67,23.75,1.86
06/26/2019,19177,20.7,36.4,22.88,4.18
06/27/2019,19178,20.29,35.76,24.29,3.75
06/28/2019,19179,26.96,35.89,22.97,0.72
06/29/2019,19180,28.79,36.78,22.1,0.42
06/30/2019,19181,16.16,33.99,22.28,1
07/01/2019,19182,28.06,37.02,22.16,0.03
07/02/2019,19183,25.89,36.61,23.69,0.14
